Mineral,id,xcoord,ycoord
Diamond (Alluvial),4,25.37116524,-27.39644199
Diamond (Alluvial),4,25.29236624,-27.4015258
Diamond (Alluvial),4,25.27711482,-27.45236386
Diamond (Alluvial),4,25.04325972,-27.4040677
Diamond (Alluvial),4,24.98733784,-27.46253148
Diamond (Alluvial),4,25.25423769,-27.632839
Diamond (Alluvial),4,25.35845573,-27.75230845
Diamond (Alluvial),4,25.24661198,-27.83619126
Diamond (Alluvial),4,25.21356724,-27.87431981
Diamond (Alluvial),4,25.30253385,-27.87431981
Diamond (Alluvial),4,22.82163622,-29.66127784
Diamond (Alluvial),4,23.08599417,-29.44521606
Diamond (Alluvial),4,23.07328465,-29.36387515
Diamond (Alluvial),4,23.16987698,-29.4020037
Diamond (Alluvial),4,23.16225127,-29.36387515
Diamond (Alluvial),4,23.20037982,-29.31303709
Diamond (Alluvial),4,23.24359217,-29.29778567
Diamond (Alluvial),4,23.26901121,-29.32828851
Diamond (Alluvial),4,23.30713976,-29.30286947
Diamond (Alluvial),4,23.35035211,-29.25203141
Diamond (Alluvial),4,23.38085495,-29.30541138
Diamond (Alluvial),4,23.59437483,-29.14781337
Diamond (Alluvial),4,23.62996148,-29.1706905
Diamond (Alluvial),4,23.78755948,-29.28253425
Diamond (Alluvial),4,23.93753178,-29.39183609
Diamond (Alluvial),4,23.82568803,-29.23677999
Diamond (Alluvial),4,23.78755948,-29.21644476
Diamond (Alluvial),4,23.76976616,-29.07918198
Diamond (Alluvial),4,23.79264329,-29.06138866
Diamond (Alluvial),4,23.78755948,-29.02834391
Diamond (Alluvial),4,20.4195376,-28.67247745
Diamond (Alluvial),4,20.45766615,-28.71568981
Diamond (Alluvial),4,17.02609668,-29.709574
Diamond (Alluvial),4,17.22436514,-30.25354131
Diamond (Alluvial),4,17.33620888,-28.41828712
Diamond (Alluvial),4,16.44400082,-28.75381836
Diamond (Alluvial),4,16.46433605,-28.65722603
Diamond (Alluvial),4,16.5812636,-28.57080132
Diamond (Alluvial),4,16.64226928,-28.58096893
Diamond (Alluvial),4,16.72361019,-28.54029848
Diamond (Alluvial),4,16.71344257,-28.4818347
Diamond (Alluvial),4,16.74902922,-28.39795189
Diamond (Alluvial),4,16.76682254,-28.25560531
Diamond (Alluvial),4,16.83291203,-28.22510247
Diamond (Alluvial),4,16.85324726,-28.14630347
Diamond (Alluvial),4,16.91171103,-28.12596824
Diamond (Alluvial),4,16.95492339,-28.11325872
Diamond (Alluvial),4,17.02101287,-28.08783969
Diamond (Alluvial),4,17.05659952,-28.13105205
Diamond (Alluvial),4,17.1176052,-28.16663869
Diamond (Alluvial),4,17.11252139,-28.22256057
Diamond (Alluvial),4,17.28028701,-29.61043977
Diamond (Alluvial),4,17.36416982,-29.57231122
Diamond (Alluvial),4,17.39721456,-29.57231122
Diamond (Alluvial),4,17.44551073,-29.63840071
Diamond (Alluvial),4,17.50905831,-29.65873594
Diamond (Alluvial),4,19.01132316,-29.64348452
Diamond (Alluvial),4,18.98082032,-29.77820539
Diamond (Alluvial),4,18.94014987,-29.84429488
Diamond (Alluvial),4,18.2741712,-30.1696585
Diamond (Alluvial),4,18.1191151,-30.81021813
Diamond (Alluvial),4,18.70375286,-30.6322849
Diamond (Alluvial),4,18.22333314,-31.75580616
Diamond (Alluvial),4,18.14707604,-31.65921384
Diamond (Alluvial),4,18.04539991,-31.52195106
Diamond (Alluvial),4,17.97676852,-31.45840348
Diamond (Alluvial),4,17.93355616,-31.42027493
Diamond (Alluvial),4,17.89796952,-31.35672735
Diamond (Alluvial),4,18.67833383,-31.36689496
Diamond (Kimberline),5,25.58722702,-29.84175297
Diamond (Kimberline),5,25.44233854,-29.76803778
Diamond (Kimberline),5,25.01784068,-29.43504844
Diamond (Kimberline),5,25.12968443,-29.45029986
Diamond (Kimberline),5,25.13476824,-29.41979702
Diamond (Kimberline),5,24.5704657,-29.2444057
Diamond (Kimberline),5,22.958899,-29.51130554
Diamond (Kimberline),5,23.31095261,-28.51233754
Diamond (Kimberline),5,23.10251654,-28.3242367
Diamond (Kimberline),5,22.92966711,-28.15138727
Diamond (Kimberline),5,22.96271186,-27.9378674
Diamond (Kimberline),5,24.42176436,-28.0980073
Diamond (Kimberline),5,24.41159674,-28.14630347
Diamond (Kimberline),5,24.3048368,-28.22001866
Diamond (Kimberline),5,24.51835668,-28.21493486
Diamond (Kimberline),5,24.55902714,-28.19459963
Diamond (Kimberline),5,24.53615001,-28.2505215
Diamond (Kimberline),5,24.48022813,-28.26323102
Diamond (Kimberline),5,24.40905484,-28.33948812
Diamond (Kimberline),5,24.66832898,-28.37253286
Diamond (Kimberline),5,24.57936236,-28.49200232
Diamond (Kimberline),5,24.48277004,-28.7080641
Diamond (Kimberline),5,24.27941777,-28.80719833
Diamond (Kimberline),5,24.3022949,-28.82244975
Diamond (Kimberline),5,24.33533964,-28.85803639
Diamond (Kimberline),5,24.74712798,-28.69281268
Diamond (Kimberline),5,24.74458608,-28.73602503
Diamond (Kimberline),5,24.77763082,-28.74873455
Diamond (Kimberline),5,24.81575937,-28.789405
Diamond (Kimberline),5,24.84880411,-28.77669549
Diamond (Kimberline),5,24.89201647,-28.81482404
Diamond (Kimberline),5,24.92251931,-28.62418129
Diamond (Kimberline),5,25.00894402,-28.61401368
Diamond (Kimberline),5,25.46648662,-28.56317561
Diamond (Kimberline),5,25.50969897,-28.51487945
Diamond (Kimberline),5,25.56816275,-28.49962803
Diamond (Kimberline),5,23.46092491,-28.39540999
Diamond (Kimberline),5,27.1416009,-29.34099802
Diamond (Kimberline),5,27.40341694,-28.79703071
Diamond (Kimberline),5,26.6815164,-28.27085673
Diamond (Kimberline),5,26.72472875,-28.27594054
Diamond (Kimberline),5,26.92045531,-28.07767208
Diamond (Kimberline),5,26.8365725,-28.3242367
Diamond (Kimberline),5,26.79844395,-28.33186241
Diamond (Kimberline),5,26.73998017,-28.31915289
Diamond (Kimberline),5,26.69676782,-28.3242367
Diamond (Kimberline),5,26.72472875,-28.33948812
Diamond (Kimberline),5,26.67643259,-28.35728144
