,year_month,Aluminium_price,Copper_price,Gold_price,Lead_price,Nickel_price,Platinum_price,Uranium_price,Zinc_price,Iron_price,Coal_price,Titanium_price,Diamond_price
24,2014-01,3.2457201194964824,3.86312270322111,3.0954166338449682,3.3375590876287355,4.146964796989748,3.154129907925895,1.567474496710266,3.315445518224584,2.107616929991784,1.9185545305502736,0.9675292562256739,2.3271545124094315
25,2014-02,3.2377259126022238,3.8543713329164584,3.1146501757061817,3.3256114329344193,4.155270953495326,3.150109229565555,1.5711876354458016,3.3127325681624287,2.084111351940677,1.8898617212581883,0.9688610404091595,2.325720858019412
26,2014-03,3.2400557216373773,3.823975431047609,3.12605747021011,3.3131940745879094,4.195134979616729,3.1618619184360175,1.5581083016305495,3.303959337136723,2.0485583248984818,1.8727388274726688,0.9780709019742114,2.3287872003545345
27,2014-04,3.2650478909289102,3.8239695379160965,3.11350549644909,3.3193038942226583,4.2381653294663355,3.1554533611933766,1.5298029846692083,3.307715269192707,2.059108817913594,1.8754085600770636,0.9916557260000516,2.3287872003545345
28,2014-05,3.2506251236238173,3.8376085227431624,3.1098381568841265,3.3216553799894903,4.2882872414476925,3.163425678351787,1.463359654175047,3.313192063634804,2.0024252646779015,1.8795546009389743,0.9822169428361222,2.325925955771466
29,2014-06,3.270165674163452,3.8328813095408774,3.107624698094241,3.3229031883263738,4.268405227031375,3.1627821463318564,1.461791416344293,3.3276702496350032,1.9672670915597856,1.8697595947824104,0.9896322186380019,2.3289908554494287
30,2014-07,3.2941153621141956,3.8511658914291886,3.1178048571303627,3.340401002269288,4.280078313395199,3.173498032386681,1.4566765268736208,3.363395309933814,1.9824973691977124,1.85394144588049,0.9829899382616166,2.325925955771466
31,2014-08,3.3093266939520043,3.8450383204171787,3.1122394389203625,3.3495834661304107,4.267728911041726,3.1600481395528752,1.4909946232910067,3.367122867904299,1.966657884201758,1.8524189929370014,0.9775498527432602,2.3251049829714074
32,2014-09,3.306276337883517,3.8358087111872106,3.0923853386725977,3.327131276549779,4.257100148469309,3.134516635640668,1.5367592458627537,3.3607138716689757,1.9158217876203987,1.8316138553090988,0.9929156470516822,2.325310371711061
33,2014-10,3.2929058706526404,3.825299793567484,3.087216041352526,3.309222709568305,4.196518600946451,3.0998764464061965,1.556512254203822,3.356550835620204,1.9088065994056742,1.8178296997456056,0.9906451508334079,2.3330440298234874
34,2014-11,3.310587114890355,3.8222089560664245,3.070321319541431,3.3061514967563106,4.194985843425881,3.0836518978305354,1.6114437852572,3.3539979298111726,1.8676442339030985,1.8173008783933213,0.9762444881238859,2.330210784571528
35,2014-12,3.2855680242588052,3.8050612924942615,3.0779912427138836,3.2869587605602657,4.201362004748328,3.085187077484004,1.5695601023218222,3.3370820909635293,1.83499260373303,1.8204641905776842,1.0113885684920247,2.3350565194390915
36,2015-01,3.2618885045677444,3.7620754047740865,3.0987603788999043,3.262490641160893,4.1691844255650965,3.0958301736885425,1.5592481040882535,3.3241256065823754,1.8339753712799063,1.7729814503449637,1.0118705823948935,2.3378584290410944
37,2015-02,3.2639140700637452,3.7571093149991404,3.088910569056214,3.2568559960230656,4.163601114062156,3.079629470925466,1.582571676935269,3.3228650859040707,1.7976137301530757,1.8026369180828106,0.9770281776271966,2.336259552014193
