latitude,longitude,Mineral,id,xcoord,ycoord,n,distance,feature_x,feature_y,nearest_x,nearest_y,left,bottom,right,top,Grid_id,ADM3
-25.783300000000001,31.050000000000001,Gold,"1",31.038338670000002,-25.795678379999998,"1",0.017006202068458,31.050000000000001,-25.783300000000001,31.038338670000002,-25.795678379999998,31.039999999999999,-25.920000000000002,31.200000000000003,-25.760000000000002,"826",Albert Luthuli Local Municipality
-25.779930000000000,28.311640000000001,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.052799842166728,28.311640000000001,-25.779930000000000,28.346422170000000,-25.740205650000000,28.160000000000000,-25.920000000000002,28.320000000000000,-25.760000000000002,"3338",City of Tshwane Metropolitan Municipalit
-25.779779999999999,29.460509999999999,Coal,"20",29.415919939999998,-25.728631000000000,"1",0.067856419385372,29.460509999999999,-25.779779999999999,29.415919939999998,-25.728631000000000,29.440000000000001,-25.920000000000002,29.600000000000001,-25.760000000000002,"3519",Steve Tshwete Local Municipality
-25.778860000000002,28.604299999999999,Diamond (Kimberline),"5",28.514228679999999,-25.756914360000000,"1",0.092706277034255,28.604299999999999,-25.778860000000002,28.514228679999999,-25.756914360000000,28.480000000000000,-25.920000000000002,28.640000000000001,-25.760000000000002,"3344",Nokeng tsa Taemane Local Municipality
-25.778510000000001,25.531060000000000,Diamond (Alluvial),"4",25.660942219999999,-25.939931390000002,"1",0.207186525193268,25.531060000000000,-25.778510000000001,25.660942219999999,-25.939931390000002,25.440000000000001,-25.920000000000002,25.600000000000001,-25.760000000000002,"1365",Mafikeng Local Municipality
-25.776610000000002,28.085080000000001,Gold,"1",28.031267060000001,-25.746111270000000,"1",0.061854709142123,28.085080000000001,-25.776610000000002,28.031267060000001,-25.746111270000000,28.000000000000000,-25.920000000000002,28.160000000000000,-25.760000000000002,"3291",City of Tshwane Metropolitan Municipalit
-25.771809999999999,28.234529999999999,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.082072429249596,28.234529999999999,-25.771809999999999,28.152546760000000,-25.767984819999999,28.160000000000000,-25.920000000000002,28.320000000000000,-25.760000000000002,"3338",City of Tshwane Metropolitan Municipalit
-25.771290000000000,28.076850000000000,Gold,"1",28.031267060000001,-25.746111270000000,"1",0.052074685437902,28.076850000000000,-25.771290000000000,28.031267060000001,-25.746111270000000,28.000000000000000,-25.920000000000002,28.160000000000000,-25.760000000000002,"3291",City of Tshwane Metropolitan Municipalit
-25.771100000000001,28.307800000000000,Copper,"9",28.346422170000000,-25.740205650000000,"1",0.049458395419094,28.307800000000000,-25.771100000000001,28.346422170000000,-25.740205650000000,28.160000000000000,-25.920000000000002,28.320000000000000,-25.760000000000002,"3338",City of Tshwane Metropolitan Municipalit
-25.771000000000001,28.244900000000001,Iron,"10",28.152546760000000,-25.767984819999999,"1",0.092402447202064,28.244900000000001,-25.771000000000001,28.152546760000000,-25.767984819999999,28.160000000000000,-25.920000000000002,28.320000000000000,-25.760000000000002,"3338",City of Tshwane Metropolitan Municipalit
