latitude,longitude
-33.94221,25.59105
-33.94043,18.57857
-33.93763,18.68118
-33.93518,18.4559
-33.93393,18.51151
-33.9333,18.5
-33.9333,18.5833
-33.9333,18.6667
-33.9333,18.85
-33.9333,22.0333
-33.93012,18.86292
-33.92899,18.41829
-33.92667,18.38623
-33.92519,18.60639
-33.92259,25.55557
-33.92234,25.44522
-33.9222,18.4083
-33.92111,18.60639
-33.92024,25.43228
-33.91795,18.40655
-33.91778,22.83778
-33.9167,18.4167
-33.9167,19.1167
-33.9166,18.4166
-33.9164,18.4153
-33.91523,18.49177
-33.9125,18.4193
-33.90667,18.55917
-33.9,18.6
-33.9,18.6333
-33.89472,25.14083
-33.89431,18.95796
-33.89339,19.10741
-33.89239,18.63995
-33.89165,18.44995
-33.8858,18.58264
-33.87917,25.59446
-33.87435,25.52046
-33.87271,25.02995
-33.87079,18.69068
-33.86784,25.56373
-33.8667,18.4833
-33.86392,25.54264
-33.85879,22.35419
-33.85278,25.60944
-33.85029,25.55727
-33.8433,18.71611
-33.84028,18.66
-33.8364,24.87397
-33.83111,25.49464
-33.82583,18.50682
-33.823,19.2508
-33.82269,20.07802
-33.80611,18.86755
-33.80289,25.46698
-33.8,19.8833
-33.79305,25.61298
-33.79167,19.89256
-33.78966,23.6287
-33.78335,26.24165
-33.76976,25.41163
-33.76613,20.1211
-33.7653,25.4022
-33.7556,24.8183
-33.74309,25.3828
-33.74167,18.975
-33.7333,18.9667
-33.7306,18.4361
-33.7297,19.2536
-33.72834,18.99331
-33.68471,19.31517
-33.68223,26.67055
-33.66075,23.11834
-33.65369,26.41286
-33.65002,18.99686
-33.65,19.4333
-33.65,23.1333
-33.64106,19.44897
-33.6333,19
-33.60635,18.99345
-33.59673,22.26001
-33.5833,22.2
-33.57361,22.43333
-33.5725,18.64833
-33.5667,18.4833
-33.5667,25.6833
-33.565,18.50028
-33.56427,26.87429
-33.55307,25.69304
-33.55,18.5833
-33.5333,21.6833
-33.52931,21.68217
-33.52459,26.9479
-33.49403,21.27246
-33.4833,21.2667
-33.48204,26.81355
-33.47649,18.6876
-33.45,18.7333
-33.45,25.9667
-33.43997,25.97278
-33.41805,19.20167
-33.39389,25.54639
-33.39257,25.4476
-33.3833,18.3833
-33.37321,18.384
-33.3667,19.3167
-33.36646,24.23116
-33.3533,19.19
-33.34195,19.32256
-33.3367,18.3467
-33.33107,22.53631
-33.31811,26.09011
-33.30529,19.21065
-33.3,26.5333
-33.29172,27.45572
-33.28776,26.54532
-33.2833,19.15
